DEPT    CAL   CILD   CNSS    DT    DRHO   GR    RHOB    ILD    SP                                                                
   190.000    14.0630    36.2200   -99999.0   105.1970   -99999.0    43.7010   -99999.0    22.0470    32.1260 
   190.200    14.0470    34.6460   -99999.0    99.6060   -99999.0    41.3390   -99999.0    28.0310    32.1260 
   190.400    14.0790    31.4960   -99999.0    96.8500   -99999.0    38.7400   -99999.0    29.9210    32.1260 
   190.600    14.1260    29.9210   -99999.0    98.8980   -99999.0    37.3230   -99999.0    29.9210    32.4410 
   190.800    14.1730    31.4958   -99999.0   100.2361   -99999.0    35.1973   -99999.0    28.3462    32.7561 
   191.000    14.2360    34.6460   -99999.0   101.4960   -99999.0    34.7240   -99999.0    27.4020    32.7560 
   191.200    14.2050    34.6460   -99999.0   101.4170   -99999.0    35.1970   -99999.0    26.7720    33.0710 
   191.400    13.9210    36.2200   -99999.0   100.9450   -99999.0    35.4330   -99999.0    27.4020    32.7560 
   191.600    13.8740    31.4960   -99999.0   100.6300   -99999.0    35.1970   -99999.0    29.9210    32.7560 
   191.800    13.8740    26.7695   -99999.0    99.8430   -99999.0    33.5430   -99999.0    34.6445    32.4409 
   192.000    14.0310    28.3460   -99999.0    99.6060   -99999.0    32.1260   -99999.0    31.4960    32.4410 
   192.200    14.2360    31.4960   -99999.0    94.0940   -99999.0    30.7090   -99999.0    25.1970    33.3860 
   192.400    14.3310    37.7950   -99999.0    91.7320   -99999.0    32.3620   -99999.0    22.0470    34.3310 
   192.600    14.3940    50.3940   -99999.0    88.6610   -99999.0    36.3780   -99999.0    19.5280    34.9610 
   192.800    14.7241    50.3940   -99999.0    96.9297   -99999.0    41.3398   -99999.0    18.5828    35.9050 
   193.000    14.9610    55.1180   -99999.0    98.3460   -99999.0    45.1180   -99999.0    18.2680    36.5350 
   193.200    15.1340    59.8430   -99999.0    93.4650   -99999.0    44.6460   -99999.0    15.1500    36.8500 
   193.400    15.2280    74.0160   -99999.0    90.5510   -99999.0    44.6460   -99999.0    13.5430    37.1650 
   193.600    15.2130    77.1650   -99999.0    97.0080   -99999.0    45.8270   -99999.0    13.7320    37.4800 
   193.800    14.5198    70.8672   -99999.0   104.4102   -99999.0    47.4800   -99999.0    13.9530    38.1101 
   194.000    14.0790    64.5670   -99999.0   106.3780   -99999.0    46.7720   -99999.0    14.1100    38.7400 
   194.200    14.4880    62.9920   -99999.0   105.9840   -99999.0    46.2990   -99999.0    14.2680    39.6850 
   194.400    14.6770    59.8430   -99999.0   101.9690   -99999.0    47.0080   -99999.0    14.3620    39.6850 
   194.600    14.8980    59.8430   -99999.0   102.8350   -99999.0    49.6060   -99999.0    14.6140    40.0000 
   194.800    14.9450    58.2681   -99999.0   102.7560   -99999.0    51.2600   -99999.0    14.9290    40.0000 
   195.000    14.9920    58.2680   -99999.0   101.8110   -99999.0    52.2050   -99999.0    14.8980    40.3150 
   195.200    14.8350    59.8430   -99999.0   100.7870   -99999.0    50.5510   -99999.0    14.9290    40.3150 
   195.400    14.9290    59.8430   -99999.0   101.0240   -99999.0    47.2440   -99999.0    15.2130    40.0000 
   195.600    15.0390    58.2680   -99999.0   104.8820   -99999.0    43.2280   -99999.0    15.4960    39.6850 
   195.800    14.7559    55.1179   -99999.0   107.4797   -99999.0    45.5908   -99999.0    15.2438    39.3699 
   196.000    14.6460    58.2680   -99999.0   103.8580   -99999.0    47.0080   -99999.0    13.6690    39.3700 
   196.200    14.6140    69.2910   -99999.0    98.9760   -99999.0    46.2990   -99999.0    13.5430    39.3700 
   196.400    14.5670    70.8660   -99999.0   101.4170   -99999.0    44.6460   -99999.0    13.9530    39.3700 
   196.600    14.5510    72.4410   -99999.0   104.0940   -99999.0    47.4800   -99999.0    14.0160    39.3700 
   196.800    13.9526    75.5911   -99999.0   104.6460   -99999.0    55.2773   -99999.0    13.3538    39.3700 
   197.000    13.2280    78.7400   -99999.0   104.4880   -99999.0    63.7800   -99999.0    13.1970    40.0000 
